quote_date,origin,destination,distance_miles,weight,equipment_type,commodity,mode,customer_id,lead_time_days,fuel_surcharge,quoted_price,actual_cost,won
2021-01-05,"Los Angeles, CA","Chicago, IL",2000,35730,Reefer,Automotive Parts,FTL,CUST-012,0,655.94,8634.93,7681.18,0
2021-01-05,"Miami, FL","Chicago, IL",1370,21984,Dry Van,Produce,FTL,CUST-025,0,480.95,5837.31,5280.94,1
2021-01-05,"Dallas, TX","Los Angeles, CA",1400,2838,Dry Van,Food & Beverage,LTL,CUST-037,2,498.7,9265.73,8053.11,1
2021-01-05,"Minneapolis, MN","Detroit, MI",690,28406,Reefer,Machinery,FTL,CUST-029,7,226.11,3293.82,3130.17,0
2021-01-06,"Denver, CO","Houston, TX",1050,28549,Flatbed,General Freight,FTL,CUST-016,0,342.09,4273.7,3862.63,1
2021-01-06,"Dallas, TX","Los Angeles, CA",1400,21245,Dry Van,Chemicals,FTL,CUST-041,8,477.74,4365.81,4153.89,1
2021-01-06,"Phoenix, AZ","Kansas City, MO",1100,23546,Flatbed,Automotive Parts,FTL,CUST-041,1,386.89,5142.69,4414.59,1
2021-01-06,"Miami, FL","Chicago, IL",1370,37316,Dry Van,Automotive Parts,FTL,CUST-038,0,457.95,6327.88,5689.28,0
2021-01-06,"Los Angeles, CA","Chicago, IL",2000,21509,Reefer,Machinery,FTL,CUST-040,3,739.65,8390.82,7717.89,1
2021-01-06,"Houston, TX","Memphis, TN",600,26589,Flatbed,Building Materials,FTL,CUST-033,5,194.91,2598.1,2351.44,0
2021-01-07,"Chicago, IL","Atlanta, GA",720,35320,Dry Van,Food & Beverage,FTL,CUST-031,3,247.82,2947.54,2701.71,0
2021-01-07,"San Francisco, CA","Las Vegas, NV",570,33304,Dry Van,Food & Beverage,FTL,CUST-033,1,213.1,2913.69,2605.32,0
2021-01-07,"Phoenix, AZ","Kansas City, MO",1100,40057,Reefer,Building Materials,FTL,CUST-014,3,415.82,4989.66,4252.97,0
2021-01-07,"San Francisco, CA","Las Vegas, NV",570,3403,Dry Van,Automotive Parts,LTL,CUST-040,8,194.25,5048.96,4205.67,0
2021-01-07,"Los Angeles, CA","Dallas, TX",1400,38256,Dry Van,General Freight,FTL,CUST-023,7,506.61,5689.17,4798.86,1
2021-01-07,"Denver, CO","Houston, TX",1050,27334,Dry Van,Electronics,FTL,CUST-004,2,328.58,3898.06,3482.43,0
2021-01-07,"Miami, FL","Chicago, IL",1370,9503,Dry Van,Produce,LTL,CUST-016,3,430.27,9270.26,8505.81,0
2021-01-07,"Houston, TX","Memphis, TN",600,12648,Dry Van,Building Materials,LTL,CUST-008,2,217.31,3866.26,3306.23,0
2021-01-08,"Minneapolis, MN","Detroit, MI",690,12073,Dry Van,Electronics,LTL,CUST-024,1,242.24,3554.58,3456.29,1
2021-01-08,"Chicago, IL","Atlanta, GA",720,35843,Dry Van,Automotive Parts,FTL,CUST-022,5,267.02,3209.19,2698.55,0
2021-01-08,"San Francisco, CA","Las Vegas, NV",570,39259,Dry Van,Automotive Parts,FTL,CUST-005,0,202.22,2664.58,2342.97,1
2021-01-08,"Seattle, WA","Denver, CO",1300,6917,Dry Van,Electronics,LTL,CUST-022,2,437.32,7938.53,7069.51,1
2021-01-08,"Los Angeles, CA","Dallas, TX",1400,8861,Dry Van,General Freight,LTL,CUST-050,2,558.48,7453.22,6434.71,0
2021-01-08,"Portland, OR","Salt Lake City, UT",770,41126,Dry Van,Automotive Parts,FTL,CUST-049,9,296.15,3563.72,2967.36,0
2021-01-09,"Seattle, WA","Denver, CO",1300,38639,Reefer,Chemicals,FTL,CUST-010,2,517.12,5751.2,5191.58,1
2021-01-09,"Houston, TX","Memphis, TN",600,7458,Dry Van,Automotive Parts,LTL,CUST-003,2,223.71,3859.5,3326.27,0
2021-01-09,"Nashville, TN","Charlotte, NC",400,33366,Flatbed,Automotive Parts,FTL,CUST-037,0,140.03,1942.16,1836.98,1
2021-01-09,"Dallas, TX","Los Angeles, CA",1400,40530,Dry Van,Automotive Parts,FTL,CUST-046,0,473.23,4978.04,4383.55,0
2021-01-09,"Newark, NJ","Miami, FL",1280,36227,Dry Van,Chemicals,FTL,CUST-026,3,459.74,5714.35,5183.36,0
2021-01-09,"Seattle, WA","Denver, CO",1300,41044,Dry Van,Food & Beverage,FTL,CUST-031,0,425.84,5026.42,4413.32,0
2021-01-10,"Newark, NJ","Miami, FL",1280,21544,Dry Van,Automotive Parts,FTL,CUST-033,1,453.32,5607.19,5075.07,1
2021-01-10,"Los Angeles, CA","Chicago, IL",2000,30761,Dry Van,Electronics,FTL,CUST-006,0,716.06,6278.77,5818.79,1
2021-01-10,"Portland, OR","Salt Lake City, UT",770,11151,Dry Van,Automotive Parts,LTL,CUST-047,2,248.49,5160.89,4678.49,1
2021-01-10,"Portland, OR","Salt Lake City, UT",770,39373,Reefer,Chemicals,FTL,CUST-047,4,264.41,3858.9,3319.39,1
2021-01-10,"Los Angeles, CA","Dallas, TX",1400,23504,Dry Van,Electronics,FTL,CUST-005,1,459.39,5075.31,4211.39,1
2021-01-10,"Seattle, WA","Denver, CO",1300,41438,Reefer,General Freight,FTL,CUST-006,2,487.42,6504.14,5507.12,0
2021-01-10,"Chicago, IL","Atlanta, GA",720,33562,Dry Van,Food & Beverage,FTL,CUST-033,8,269.79,2869.24,2539.31,0
2021-01-10,"Denver, CO","Houston, TX",1050,26449,Dry Van,Food & Beverage,FTL,CUST-043,1,372.41,4192.47,3622.6,0
2021-01-11,"Dallas, TX","Los Angeles, CA",1400,41232,Reefer,Electronics,FTL,CUST-027,2,473.49,5736.32,5111.21,0
2021-01-11,"Los Angeles, CA","Dallas, TX",1400,25070,Dry Van,Automotive Parts,FTL,CUST-037,3,524.51,5497.4,4734.13,1
2021-01-11,"Phoenix, AZ","Kansas City, MO",1100,7286,Reefer,Machinery,LTL,CUST-016,2,408.64,8760.49,7993.5,0
2021-01-11,"Los Angeles, CA","Chicago, IL",2000,39926,Flatbed,General Freight,FTL,CUST-039,1,832.15,7727.14,6551.98,0
2021-01-11,"Portland, OR","Salt Lake City, UT",770,13357,Reefer,Machinery,LTL,CUST-040,0,285.07,6324.29,5739.36,1
2021-01-11,"Phoenix, AZ","Kansas City, MO",1100,21129,Flatbed,Chemicals,FTL,CUST-026,6,373.49,5155.18,4558.21,0
2021-01-11,"Miami, FL","Chicago, IL",1370,32951,Reefer,Food & Beverage,FTL,CUST-027,0,490.58,6315.25,5903.98,1
2021-01-11,"Los Angeles, CA","Dallas, TX",1400,24772,Dry Van,Food & Beverage,FTL,CUST-036,2,478.14,4958.29,4361.94,1
2021-01-12,"Newark, NJ","Miami, FL",1280,20196,Reefer,Food & Beverage,FTL,CUST-045,0,431.34,6464.32,5821.89,0
2021-01-12,"Phoenix, AZ","Kansas City, MO",1100,5853,Reefer,Electronics,LTL,CUST-048,3,380.12,8656.13,7831.82,0
2021-01-12,"San Francisco, CA","Las Vegas, NV",570,6143,Reefer,Machinery,LTL,CUST-014,1,203.72,5306.11,4841.94,1
2021-01-12,"Houston, TX","Memphis, TN",600,35883,Dry Van,General Freight,FTL,CUST-042,1,220.91,2085.59,1865.22,1
2021-01-12,"Nashville, TN","Charlotte, NC",400,13492,Dry Van,Food & Beverage,LTL,CUST-048,0,137.54,2842.13,2537.77,0
2021-01-12,"Newark, NJ","Miami, FL",1280,30382,Dry Van,Chemicals,FTL,CUST-007,2,427.46,5585.29,4726.54,0
2021-01-12,"Los Angeles, CA","Dallas, TX",1400,34775,Dry Van,Produce,FTL,CUST-021,0,493.5,4900.44,4580.19,0
2021-01-12,"San Francisco, CA","Las Vegas, NV",570,25831,Dry Van,General Freight,FTL,CUST-011,3,199.11,2578.81,2308.28,0
2021-01-12,"Los Angeles, CA","Chicago, IL",2000,22267,Dry Van,Building Materials,FTL,CUST-044,13,690.38,7032.48,6048.85,0
2021-01-12,"San Francisco, CA","Las Vegas, NV",570,25049,Reefer,Machinery,FTL,CUST-019,1,198.52,3260.01,2950.77,1
2021-01-12,"Portland, OR","Salt Lake City, UT",770,11534,Flatbed,Chemicals,LTL,CUST-027,3,270.15,6355.39,5695.4,0
2021-01-12,"San Francisco, CA","Las Vegas, NV",570,35870,Reefer,General Freight,FTL,CUST-021,3,199.42,3433.46,2980.48,0
2021-01-12,"Atlanta, GA","Newark, NJ",870,37112,Dry Van,Chemicals,FTL,CUST-022,0,303.04,3530.16,3118.68,1
2021-01-13,"Nashville, TN","Charlotte, NC",400,29758,Flatbed,Food & Beverage,FTL,CUST-027,1,143.29,2130.19,1936.73,1
2021-01-13,"Minneapolis, MN","Detroit, MI",690,29564,Flatbed,Automotive Parts,FTL,CUST-043,0,243.67,3288.72,2873.39,0
2021-01-13,"Newark, NJ","Miami, FL",1280,8078,Dry Van,Chemicals,LTL,CUST-049,1,460.66,9488.66,8359.12,1
2021-01-13,"Dallas, TX","Los Angeles, CA",1400,42028,Dry Van,Automotive Parts,FTL,CUST-048,1,449.31,5611.92,4816.79,0
2021-01-13,"Houston, TX","Memphis, TN",600,26613,Reefer,Produce,FTL,CUST-023,4,217.31,2947.82,2634.16,0
2021-01-13,"Chicago, IL","Atlanta, GA",720,32738,Dry Van,Food & Beverage,FTL,CUST-035,2,245.36,2705.91,2504.46,0
2021-01-13,"Denver, CO","Houston, TX",1050,39614,Dry Van,Automotive Parts,FTL,CUST-003,2,383.14,3747.58,3332.39,0
2021-01-13,"Nashville, TN","Charlotte, NC",400,30200,Reefer,Electronics,FTL,CUST-021,0,124.05,2592.09,2268.35,1
2021-01-13,"Minneapolis, MN","Detroit, MI",690,5712,Reefer,Automotive Parts,LTL,CUST-026,1,241.08,6279.46,5529.9,0
2021-01-14,"Houston, TX","Memphis, TN",600,22748,Dry Van,Electronics,FTL,CUST-036,1,235.2,2401.37,2045.72,0
2021-01-14,"Minneapolis, MN","Detroit, MI",690,24513,Flatbed,Food & Beverage,FTL,CUST-046,5,239.03,2724.98,2773.49,1
2021-01-14,"Seattle, WA","Denver, CO",1300,8742,Reefer,Building Materials,LTL,CUST-029,4,472.99,9177.21,8571.24,1
2021-01-14,"Seattle, WA","Denver, CO",1300,11701,Dry Van,Electronics,LTL,CUST-037,2,467.49,8222.73,7246.12,0
2021-01-14,"Los Angeles, CA","Chicago, IL",2000,40194,Reefer,Chemicals,FTL,CUST-007,3,712.04,8494.68,7679.75,1
2021-01-14,"Los Angeles, CA","Dallas, TX",1400,14621,Dry Van,General Freight,LTL,CUST-009,8,527.37,8381.16,6971.48,0
2021-01-14,"Chicago, IL","Atlanta, GA",720,32801,Reefer,Produce,FTL,CUST-019,2,243.56,3339.69,3073.94,0
2021-01-14,"Houston, TX","Memphis, TN",600,38312,Dry Van,Machinery,FTL,CUST-009,2,218.78,2473.98,2083.37,0
2021-01-14,"Newark, NJ","Miami, FL",1280,3701,Flatbed,Food & Beverage,LTL,CUST-024,3,467.6,12674.44,10322.42,0
2021-01-15,"Seattle, WA","Denver, CO",1300,27042,Reefer,Produce,FTL,CUST-027,6,490.22,5927.23,4950.98,0
2021-01-15,"San Francisco, CA","Las Vegas, NV",570,7174,Dry Van,Building Materials,LTL,CUST-044,1,204.69,4662.92,4242.1,1
2021-01-15,"Newark, NJ","Miami, FL",1280,38959,Reefer,Food & Beverage,FTL,CUST-012,5,450.58,7078.5,5971.89,0
2021-01-15,"San Francisco, CA","Las Vegas, NV",570,23708,Dry Van,Food & Beverage,FTL,CUST-045,1,209.47,2783.93,2404.27,1
2021-01-15,"Nashville, TN","Charlotte, NC",400,33915,Dry Van,Building Materials,FTL,CUST-019,0,151.63,1794.66,1575.52,0
2021-01-16,"Dallas, TX","Los Angeles, CA",1400,2714,Dry Van,Chemicals,LTL,CUST-048,3,474.94,8525.38,7606.96,1
2021-01-16,"Chicago, IL","Atlanta, GA",720,14596,Reefer,Produce,LTL,CUST-016,2,244.78,5992.05,5080.9,0
2021-01-16,"Denver, CO","Houston, TX",1050,9538,Flatbed,Food & Beverage,LTL,CUST-016,1,358.71,7477.61,6497.97,0
2021-01-16,"San Francisco, CA","Las Vegas, NV",570,34519,Dry Van,Machinery,FTL,CUST-049,2,192.55,2565.55,2298.4,0
2021-01-16,"Atlanta, GA","Newark, NJ",870,3037,Reefer,Food & Beverage,LTL,CUST-029,5,304.14,7364.57,6314.28,0
2021-01-16,"Newark, NJ","Miami, FL",1280,6140,Dry Van,Building Materials,LTL,CUST-020,3,462.6,9256.4,8469.07,1
2021-01-16,"Houston, TX","Memphis, TN",600,23261,Reefer,Chemicals,FTL,CUST-046,0,209.73,2766.31,2479.91,0
2021-01-16,"Atlanta, GA","Newark, NJ",870,30534,Dry Van,Machinery,FTL,CUST-028,9,340.47,3388.27,3068.11,1
2021-01-17,"Newark, NJ","Miami, FL",1280,22991,Dry Van,Produce,FTL,CUST-006,5,411.03,4797.65,4523.68,0
2021-01-17,"Phoenix, AZ","Kansas City, MO",1100,28844,Flatbed,Food & Beverage,FTL,CUST-017,0,380.21,5391.24,4625.15,1
2021-01-17,"Dallas, TX","Los Angeles, CA",1400,26245,Dry Van,Food & Beverage,FTL,CUST-046,0,499.61,5266.53,4622.59,0
2021-01-17,"Los Angeles, CA","Dallas, TX",1400,23378,Reefer,Automotive Parts,FTL,CUST-017,0,453.86,6284.71,5716.7,0
2021-01-17,"Seattle, WA","Denver, CO",1300,31178,Flatbed,Automotive Parts,FTL,CUST-005,2,468.5,5546.31,4801.03,0
2021-01-17,"Chicago, IL","Atlanta, GA",720,23555,Dry Van,Automotive Parts,FTL,CUST-027,3,266.68,3252.29,2770.39,0
2021-01-17,"Los Angeles, CA","Chicago, IL",2000,4635,Dry Van,Building Materials,LTL,CUST-039,1,700.1,12585.26,10911.73,1
2021-01-17,"Minneapolis, MN","Detroit, MI",690,10453,Reefer,Building Materials,LTL,CUST-017,1,220.4,5205.14,4768.56,1
2021-01-17,"Chicago, IL","Atlanta, GA",720,28106,Flatbed,Produce,FTL,CUST-023,3,223.65,3045.62,2765.9,1
2021-01-17,"Newark, NJ","Miami, FL",1280,26062,Dry Van,Chemicals,FTL,CUST-014,3,426.82,5773.46,4958.18,1
2021-01-18,"Atlanta, GA","Newark, NJ",870,39857,Dry Van,Building Materials,FTL,CUST-030,3,313.53,3651.62,3152.48,0
2021-01-18,"Seattle, WA","Denver, CO",1300,12986,Reefer,Building Materials,LTL,CUST-025,1,367.14,8778.34,8193.72,1
2021-01-18,"Los Angeles, CA","Chicago, IL",2000,33285,Dry Van,General Freight,FTL,CUST-035,2,629.38,5724.84,5215.82,0
2021-01-18,"Chicago, IL","Atlanta, GA",720,30186,Dry Van,General Freight,FTL,CUST-006,5,216.37,3017.88,2790.75,0
2021-01-18,"Denver, CO","Houston, TX",1050,8432,Dry Van,Chemicals,LTL,CUST-039,5,375.67,6059.63,5619.63,1
2021-01-19,"Dallas, TX","Los Angeles, CA",1400,10673,Dry Van,Automotive Parts,LTL,CUST-021,0,504.79,8696.73,7838.42,0
2021-01-19,"Dallas, TX","Los Angeles, CA",1400,8568,Reefer,Chemicals,LTL,CUST-021,5,492.0,11056.76,9535.21,0
2021-01-19,"San Francisco, CA","Las Vegas, NV",570,26250,Reefer,Electronics,FTL,CUST-029,0,193.25,3688.06,3278.35,1
2021-01-19,"Houston, TX","Memphis, TN",600,43249,Dry Van,Chemicals,FTL,CUST-006,0,211.16,2053.83,1948.27,0
2021-01-19,"Miami, FL","Chicago, IL",1370,14794,Flatbed,Building Materials,LTL,CUST-027,0,478.02,10975.89,9492.36,1
2021-01-19,"Dallas, TX","Los Angeles, CA",1400,5524,Flatbed,Food & Beverage,LTL,CUST-043,1,487.03,10764.59,9409.29,0
2021-01-19,"Newark, NJ","Miami, FL",1280,31526,Flatbed,Automotive Parts,FTL,CUST-028,2,399.93,6009.0,5627.47,0
2021-01-19,"Seattle, WA","Denver, CO",1300,23937,Reefer,General Freight,FTL,CUST-005,9,477.14,6189.42,5386.95,0
2021-01-19,"Houston, TX","Memphis, TN",600,21092,Flatbed,Building Materials,FTL,CUST-028,5,208.41,2875.4,2435.33,0
2021-01-19,"Portland, OR","Salt Lake City, UT",770,7062,Dry Van,General Freight,LTL,CUST-049,8,290.86,5497.34,5025.11,1
2021-01-19,"Los Angeles, CA","Chicago, IL",2000,25586,Dry Van,Chemicals,FTL,CUST-001,2,668.89,7178.59,6215.51,1
2021-01-19,"San Francisco, CA","Las Vegas, NV",570,26884,Flatbed,Food & Beverage,FTL,CUST-020,1,236.64,3191.4,2973.21,1
2021-01-19,"Minneapolis, MN","Detroit, MI",690,38868,Reefer,Building Materials,FTL,CUST-005,1,235.68,3714.73,3152.07,0
2021-01-19,"Portland, OR","Salt Lake City, UT",770,23149,Flatbed,Food & Beverage,FTL,CUST-015,2,281.75,3500.94,3290.85,0
2021-01-19,"Denver, CO","Houston, TX",1050,24660,Dry Van,General Freight,FTL,CUST-015,0,355.13,4475.79,3869.16,0
2021-01-19,"Dallas, TX","Los Angeles, CA",1400,43262,Dry Van,Machinery,FTL,CUST-033,2,525.1,5436.87,4840.22,1
2021-01-19,"Dallas, TX","Los Angeles, CA",1400,25696,Dry Van,Chemicals,FTL,CUST-013,1,532.97,4682.79,4540.87,1
2021-01-20,"Seattle, WA","Denver, CO",1300,6499,Reefer,Automotive Parts,LTL,CUST-038,4,472.93,10679.06,9141.84,0
2021-01-20,"Nashville, TN","Charlotte, NC",400,7629,Flatbed,Food & Beverage,LTL,CUST-039,0,136.62,3219.43,2974.51,1
2021-01-20,"Minneapolis, MN","Detroit, MI",690,42860,Dry Van,General Freight,FTL,CUST-012,5,240.14,2697.74,2385.23,0
2021-01-20,"Minneapolis, MN","Detroit, MI",690,6795,Dry Van,Machinery,LTL,CUST-003,1,278.16,5376.42,4496.64,0
2021-01-21,"Newark, NJ","Miami, FL",1280,27842,Dry Van,Food & Beverage,FTL,CUST-017,2,429.37,5530.91,4872.26,1
2021-01-21,"Dallas, TX","Los Angeles, CA",1400,25915,Flatbed,Produce,FTL,CUST-018,0,460.07,5739.58,5009.62,0
2021-01-21,"Dallas, TX","Los Angeles, CA",1400,27632,Reefer,Food & Beverage,FTL,CUST-041,4,543.11,5627.29,5064.84,1
2021-01-21,"Denver, CO","Houston, TX",1050,27923,Dry Van,Automotive Parts,FTL,CUST-039,1,373.18,4194.19,3708.19,0
2021-01-21,"Minneapolis, MN","Detroit, MI",690,42875,Dry Van,Automotive Parts,FTL,CUST-040,0,233.41,2821.68,2503.2,0
2021-01-21,"Los Angeles, CA","Chicago, IL",2000,6045,Reefer,Machinery,LTL,CUST-020,1,642.93,14884.59,13322.32,1
2021-01-21,"Newark, NJ","Miami, FL",1280,32237,Dry Van,Electronics,FTL,CUST-036,0,469.57,5697.55,5002.43,0
2021-01-21,"Chicago, IL","Atlanta, GA",720,25397,Dry Van,Electronics,FTL,CUST-008,0,246.41,3182.6,2834.51,1
2021-01-21,"Dallas, TX","Los Angeles, CA",1400,27722,Dry Van,General Freight,FTL,CUST-037,0,502.07,5200.38,4619.35,1
2021-01-21,"Miami, FL","Chicago, IL",1370,4390,Dry Van,Automotive Parts,LTL,CUST-028,3,446.81,10274.91,9084.47,0
2021-01-21,"San Francisco, CA","Las Vegas, NV",570,41381,Flatbed,Chemicals,FTL,CUST-029,0,195.17,3249.84,2842.58,0
2021-01-21,"Chicago, IL","Atlanta, GA",720,34755,Dry Van,Building Materials,FTL,CUST-026,6,254.12,3050.46,2671.44,0
2021-01-22,"Minneapolis, MN","Detroit, MI",690,36380,Reefer,Chemicals,FTL,CUST-005,5,255.42,3590.82,3198.98,1
2021-01-22,"Los Angeles, CA","Dallas, TX",1400,21780,Dry Van,Machinery,FTL,CUST-022,6,500.83,5168.14,4503.54,0
2021-01-22,"Seattle, WA","Denver, CO",1300,37535,Dry Van,Chemicals,FTL,CUST-026,5,504.52,5293.9,4701.82,0
2021-01-22,"Denver, CO","Houston, TX",1050,41813,Dry Van,General Freight,FTL,CUST-007,0,374.74,3784.9,3349.68,1
2021-01-22,"Miami, FL","Chicago, IL",1370,42191,Dry Van,Automotive Parts,FTL,CUST-022,0,468.29,6018.99,4978.12,1
2021-01-22,"Chicago, IL","Atlanta, GA",720,2422,Flatbed,Food & Beverage,LTL,CUST-012,4,268.34,5483.35,4991.81,0
2021-01-22,"Dallas, TX","Los Angeles, CA",1400,23270,Reefer,Chemicals,FTL,CUST-038,6,494.5,5915.09,5205.22,0
2021-01-22,"Denver, CO","Houston, TX",1050,11019,Dry Van,Automotive Parts,LTL,CUST-010,1,378.33,5543.45,5135.62,0
2021-01-22,"Portland, OR","Salt Lake City, UT",770,38628,Dry Van,Produce,FTL,CUST-013,1,277.75,3019.04,2785.61,1
2021-01-23,"Nashville, TN","Charlotte, NC",400,4271,Reefer,Food & Beverage,LTL,CUST-039,2,149.81,3749.44,3479.3,0
2021-01-23,"Denver, CO","Houston, TX",1050,37037,Dry Van,Food & Beverage,FTL,CUST-021,0,383.15,4113.1,3667.97,0
2021-01-23,"Miami, FL","Chicago, IL",1370,36760,Flatbed,Produce,FTL,CUST-048,1,502.5,6598.09,5880.6,0
2021-01-23,"Nashville, TN","Charlotte, NC",400,22041,Flatbed,Electronics,FTL,CUST-022,0,148.75,2078.06,1931.33,1
2021-01-23,"Los Angeles, CA","Dallas, TX",1400,36781,Reefer,Food & Beverage,FTL,CUST-046,3,495.18,6155.48,5279.57,1
2021-01-23,"Newark, NJ","Miami, FL",1280,27710,Dry Van,Food & Beverage,FTL,CUST-005,1,453.29,5171.85,4652.83,0
2021-01-23,"Seattle, WA","Denver, CO",1300,22562,Reefer,Building Materials,FTL,CUST-004,5,429.05,6001.75,5591.19,0
2021-01-23,"San Francisco, CA","Las Vegas, NV",570,8587,Dry Van,Electronics,LTL,CUST-050,10,196.17,5140.28,4143.47,0
2021-01-23,"Denver, CO","Houston, TX",1050,23176,Dry Van,Automotive Parts,FTL,CUST-020,3,331.63,3807.57,3536.39,0
2021-01-24,"Seattle, WA","Denver, CO",1300,22784,Reefer,Machinery,FTL,CUST-017,3,441.86,6334.41,5633.19,0
2021-01-24,"Chicago, IL","Atlanta, GA",720,5651,Dry Van,Machinery,LTL,CUST-007,7,239.55,4778.74,4060.82,0
2021-01-24,"Nashville, TN","Charlotte, NC",400,34232,Dry Van,Food & Beverage,FTL,CUST-024,4,133.19,1748.4,1552.5,0
2021-01-24,"Newark, NJ","Miami, FL",1280,21588,Dry Van,Machinery,FTL,CUST-041,0,515.81,5666.41,4828.41,0
2021-01-25,"Los Angeles, CA","Chicago, IL",2000,42306,Dry Van,General Freight,FTL,CUST-040,0,678.12,6525.2,5745.78,1
2021-01-25,"Portland, OR","Salt Lake City, UT",770,26598,Dry Van,Chemicals,FTL,CUST-044,3,278.92,3031.58,2740.16,0
2021-01-25,"Newark, NJ","Miami, FL",1280,34031,Dry Van,Building Materials,FTL,CUST-008,1,446.0,5712.11,5173.57,1
2021-01-25,"Atlanta, GA","Newark, NJ",870,2756,Dry Van,General Freight,LTL,CUST-011,7,333.78,6131.07,5526.19,0
2021-01-25,"Chicago, IL","Atlanta, GA",720,41395,Dry Van,Automotive Parts,FTL,CUST-011,0,237.27,2907.6,2555.18,0
2021-01-25,"Newark, NJ","Miami, FL",1280,13490,Dry Van,Building Materials,LTL,CUST-046,1,459.04,8803.9,7579.56,1
